feature,perm_mean_CD,perm_std_CD,perm_mean_HYP,perm_std_HYP,perm_mean_MI,perm_std_MI,perm_mean_NORM,perm_std_NORM,perm_mean_STTC,perm_std_STTC,perm_mean_global,perm_std_global,builtin_mean_importance,feature_type
clinical_sokolow_lyon_voltage,0.0,0.0,0.07721403047376854,0.010213862228458862,-0.0002268351583047501,0.00020769110981421393,0.0037811788105096998,0.0010499048896815432,0.0004816762320470347,0.00027602614027127335,0.016250010071604103,0.0023494968736451787,1.618091603273422,clinical
clinical_lead8_qrs_max_mean,0.0,0.0,-0.0005150223410274491,0.0003077210522300453,0.0536083923036223,0.010160671437015066,0.0044610128235988535,0.0010603788889611155,-4.8847391232120785e-05,0.00044282675607761274,0.011501107078992318,0.0023943196268567677,2.056356336932652,clinical
clinical_lead7_st_slope_mean,0.029228235394973334,0.003192950257245263,-0.0010542513627119666,0.0006614793257609455,0.0006966548383511406,0.00035627932571307786,0.005560306629932965,0.0011358587705154214,0.00042864552277520617,0.0004513799915195457,0.006971918204664135,0.0011595895341508507,3.543923021165014,clinical
age,0.0001396081622310974,0.0014152238489748704,0.010197457122664632,0.004089366464199096,0.0044250825303287274,0.0038213815584575055,0.011497030003841524,0.0025312637819751614,0.002604133922711538,0.0011774452458874762,0.005772662348355504,0.002606936179898822,2.452250476120164,baseline
lead2_skew,0.021209171631887947,0.004682312533715439,0.00020118214026343395,0.00022810641648412003,-0.0007727403411389,0.0003091278848547101,0.0037102783605743707,0.001313164185661737,0.00047963325260764745,0.0002007140057276172,0.0049655050088388995,0.0013466850052887248,3.816676080360719,baseline
clinical_lead9_qrs_max_mean,0.0,0.0,-0.00017125215110318502,0.0004189234283980117,0.020207523781468128,0.00624472758737906,0.0013414945822658119,0.0004771302106905131,-0.00015855766223136226,0.0005595266082601221,0.004243841710079878,0.0015400615669455412,0.930984964928894,clinical
clinical_lead3_q_depth_mean,8.021657564832863e-05,0.00033779261629778256,0.0010197285473247607,0.00044923674243742246,0.01506755076024805,0.003992191740419071,0.0016999910817790842,0.0004490823718211949,0.0,0.0,0.003573497393000045,0.0010456606941950941,1.1162976149873693,clinical
lead12_hf2_energy,9.592999580591011e-05,0.000152738193913881,0.01169764845684751,0.0049375307323706085,0.0008203100842199329,0.0002786644085395567,0.0005257822322959238,0.0003496259144946401,0.0014333452434847737,0.0006763141399583863,0.00291460320253081,0.0012789746778554144,0.8728179636324658,baseline
clinical_lead8_st_slope_mean,0.00856268336349616,0.001971598790568134,0.00038650091253820127,0.00019343343673840858,0.002932281269830539,0.0009190718372543153,0.0017834415982417417,0.000777739306097273,-0.0002958592712706709,0.0005991332973185641,0.002673809574567194,0.000892195333595339,1.141932176668621,clinical
clinical_lead12_st_slope_mean,0.001584634370196647,0.0008108353297579415,0.0012846814364664504,0.0010754375354458845,0.0025985797007723075,0.0008166074347926634,0.000935986791156751,0.000549120214188521,0.005856937765899272,0.0026288505094706695,0.0024521640128982855,0.001176170204731136,1.0781267474576581,clinical
clinical_lead6_q_depth_mean,0.0,0.0,0.0,0.0,0.009252295793938858,0.002972016077087576,0.0001181363240367217,6.550937342320792e-05,0.0005758041227820976,0.0003917733467847439,0.0019892472481515358,0.0006858597594591056,0.5631797020217959,clinical
clinical_lead4_t_amp_mean,0.0,0.0,0.002046929813849485,0.0008030868256327466,1.3356822425203418e-06,0.0011376818977711872,0.0035917891691356397,0.002404806926110541,0.003690280983255023,0.00441869470527577,0.0018660671296965338,0.0017528540709580488,2.3164730316567743,clinical
clinical_lead1_t_inversion_ratio,0.001016480125777397,0.0003060529719139808,0.00034037451776616214,0.0006175601180925168,0.001591183325463319,0.0005941132529992106,0.00031341220310612263,0.000542179212251566,0.00491240755176432,0.0016034912678090252,0.001634771544775464,0.0007326793646132599,0.7422657396398588,clinical
clinical_lead11_t_amp_mean,0.0,0.0,-0.0014896907351240496,0.0018203038629268757,0.00012240832129394307,0.0006194721160932925,0.0024666027612938344,0.0014711991112935268,0.006816225130366216,0.004679763373135624,0.0015831090955659888,0.0017181476926898635,1.7000383012898734,clinical
lead4_skew,0.0026876954898511717,0.0012254398300693,0.002708743917911627,0.0009999456525053249,-8.051308220113906e-06,0.00043686333847602765,0.00047472124921852374,0.00016889040665177924,0.0015624406433373595,0.0014335157607091964,0.0014851099984197137,0.0008529309976823257,0.7399802393052115,baseline
clinical_lead10_t_amp_mean,0.0,0.0,0.0003554780210263231,0.0004260063883877093,-0.0008338034869087352,0.0010490920376656533,0.0007781773174759144,0.0008470807173793731,0.006663356703658396,0.0014541523117698456,0.0013926417110503796,0.0007552662910405162,0.84207304353491,clinical
lead7_hf2_energy,0.0009325056742515048,0.00034018259554837165,-7.462942322011834e-06,0.0009840962451369284,0.004889301219770048,0.0005911840107042318,0.0004830965947689614,0.0005859127071311347,0.0005445120298042339,0.0004387112684889327,0.0013683905152545473,0.0005880173654019198,0.41043350080693725,baseline
clinical_lead11_qrs_max_mean,0.0,0.0,0.006720172230417054,0.0011469643668861479,-0.00023840740932697945,0.0002728382386619472,0.0002915137580575489,0.0004418510801818529,-0.00020929196500633074,0.0007137696071929968,0.0013127973228282586,0.000515084658584589,0.3570749436122468,clinical
clinical_lead11_q_width_mean_ms,-4.9440481996254616e-05,0.00033471291189778,0.0002710211589040612,0.0005098928393142871,7.784082000221737e-05,0.00036275748278450433,0.0006615635350809224,0.00042555793743806036,0.005564422929156365,0.0021940981456296037,0.0013050815922294623,0.0007654038634128471,0.7458785810829888,clinical
clinical_lead4_t_inversion_ratio,0.0013137708556431483,0.0002974606237500417,0.002066498221713675,0.0008142942996295336,0.00016320210597349228,0.0002529623379226744,1.960685301815035e-05,0.0003095395281186546,0.0024161286171692662,0.0012724474513015592,0.0011958413307035464,0.0005893408481444926,0.43669070218566225,clinical
lead1_spec_entropy,-0.0006678266167761016,0.0003680689965312397,0.0005657442555471626,0.00036234102813939724,0.0052432131733683995,0.0007878987316605773,0.00039425099049705814,0.00029171815578490836,0.00012714252290884075,0.0006930723342737146,0.001132504865109072,0.0005006198492779674,0.25578895830449244,baseline
