experiment,feature_count,mean_f1_macro,mean_pr_auc,mean_roc_auc,accuracy,f1_macro,f1_weighted,pr_auc_macro,pr_auc_weighted,primary_pr_auc
baseline,373,0.7669369746150174,0.7278880416077799,0.8853027824813335,,,,,,0.7278880416077799
clinical,536,0.8081482616806536,0.7911750142972822,0.9178737498982972,,,,,,0.7911750142972822
baseline_multiclass,373,,,,0.49089195979899497,0.2708849383563631,0.5118729414981654,0.2596877301575531,0.5490832243184411,0.2596877301575531
clinical_multiclass,536,,,,0.5816582914572864,0.348493777912532,0.5918016155503419,0.33412026555134605,0.6156291397164948,0.33412026555134605
